threshold                precision                recall                   f1_score
7.399999999999999911e-01 2.901913089886486996e-01 6.034403645249757364e-01 3.919134794978151315e-01
7.500000000000000000e-01 2.900858623623752686e-01 6.002710460885061217e-01 3.911468365168657146e-01
7.600000000000000089e-01 2.935224044000729893e-01 6.008046013808411301e-01 3.943738923950884101e-01
7.700000000000000178e-01 2.899798383961936787e-01 5.970377010169564125e-01 3.903618324658471583e-01
7.800000000000000266e-01 2.921311234966265657e-01 5.951169019645505820e-01 3.918907998524321923e-01
7.900000000000000355e-01 2.943078160384346997e-01 5.935589205109325084e-01 3.935028138673609122e-01
8.000000000000000444e-01 2.940753051265494467e-01 5.929079830542839380e-01 3.931519304862214348e-01
8.100000000000000533e-01 2.934275543276127496e-01 5.893224914897930988e-01 3.917835138212477641e-01
8.200000000000000622e-01 2.918124897105136006e-01 5.863559240644108383e-01 3.896883089252154431e-01
8.300000000000000711e-01 2.945166092513072931e-01 5.847872715049460268e-01 3.917407124118063577e-01
8.399999999999999689e-01 2.965725872033135868e-01 5.837521742378162237e-01 3.933205112073769327e-01
8.499999999999999778e-01 2.969676055257939873e-01 5.785340034787804786e-01 3.924741107527699446e-01
8.599999999999999867e-01 2.977273479109464605e-01 5.762397157217402643e-01 3.926059218059872458e-01
8.699999999999999956e-01 2.959511338037090211e-01 5.733798593548249389e-01 3.903977214932356499e-01
8.800000000000000044e-01 2.956588734798851759e-01 5.692074569687656238e-01 3.891728226174190342e-01
8.900000000000000133e-01 2.976942026789672346e-01 5.661021651673763255e-01 3.901969004905962435e-01
9.000000000000000222e-01 3.006719212159551513e-01 5.629862022601401783e-01 3.919934021353899678e-01
9.100000000000000311e-01 2.985235681008495678e-01 5.579601114063450495e-01 3.889490186451836085e-01
9.200000000000000400e-01 2.984362377380265219e-01 5.518989232854201177e-01 3.873922797188130707e-01
9.300000000000000488e-01 2.993624245399346684e-01 5.466380681029975319e-01 3.868624163608077593e-01
9.400000000000000577e-01 3.021483394304569359e-01 5.393923872330889102e-01 3.873288812772266998e-01
9.500000000000000666e-01 3.029641432324608474e-01 5.316024799649987642e-01 3.859643685864037055e-01
9.599999999999999645e-01 3.057296890672016043e-01 5.204298321435050223e-01 3.851819090079808272e-01
9.699999999999999734e-01 3.077646174092874554e-01 5.065894078603365713e-01 3.829054451891822364e-01
9.799999999999999822e-01 3.066961636000647418e-01 4.852365250610921055e-01 3.758404793883665107e-01
9.899999999999999911e-01 3.157043080350422914e-01 4.476208769514785080e-01 3.702637932023709610e-01
